sweetheart-cafe-berkeley,Sweetheart Cafe,sweetheart-cafe-berkeley@aol.com,2523 Durant Ave
teaone-berkeley-berkeley,TeaOne Berkeley,teaone-berkeley-berkeley@gmail.com,2380 Telegraph Ave
quickly-kobe-bento-richmond-2,Quickly - Kobe Bento,quickly-kobe-bento-richmond-2@gmail.com,3288 Pierce St
quickly-san-rafael,Quickly,quickly-san-rafael@yahoo.com,1128 4th St
sivans-cafe-hayward,Sivan's Cafe,sivans-cafe-hayward@oxy.edu,766 A St
honey-bear-smoothie-tea-and-dessert-hayward,Honey Bear Smoothie Tea & Dessert,honey-bear-smoothie-tea-and-dessert-hayward@bobalover.com,1 Southland Mall Dr
sharetea-san-ramon,Sharetea,sharetea-san-ramon@oxy.edu,2441 San Ramon Valley Blvd
t4-castro-valley,T4,t4-castro-valley@yahoo.com,18911 Lake Chabot Rd
quickly-hayward,Quickly,quickly-hayward@aol.com,25034 Hesperian Blvd
8-twelve-oriental-market-san-leandro,8-Twelve Oriental Market,8-twelve-oriental-market-san-leandro@oxy.edu,596 E 14th St
polaris-ice-cream-rolls-hayward,Polaris Ice Cream Rolls,polaris-ice-cream-rolls-hayward@yahoo.com,595 Southland Mall
milkcow-castro-valley,Milkcow,milkcow-castro-valley@aol.com,3223 Castro Valley Blvd
satori-tea-company-saratoga,Satori Tea Company,satori-tea-company-saratoga@aol.com,14482 Big Basin Way
creative-sips-san-jose,Creative Sips,creative-sips-san-jose@bobalover.com,
saratoga-bagels-saratoga,Saratoga Bagels,saratoga-bagels-saratoga@oxy.edu,12840 Saratoga Sunnyvale Rd
snowflake-san-jose,Snowflake,snowflake-san-jose@oxy.edu,4306 Moorpark Ave
steepers-campbell,Steepers,steepers-campbell@yahoo.com,346 E Campbell Ave
yodo-yogurt-campbell,YoDo Yogurt,yodo-yogurt-campbell@yahoo.com,2475 S Winchester Blvd
caffé-central-santa-clara,Caffé Central,caffé-central-santa-clara@bobalover.com,2855 Stevens Creek Blvd
bar-code-santa-clara,Bar Code,bar-code-santa-clara@aol.com,2855 Stevens Crk Blvd
jovie-coffee-and-pho-campbell,Jovie Coffee & Pho,jovie-coffee-and-pho-campbell@gmail.com,136 N San Tomas Aquino
tous-les-jours-santa-clara,Tous Les Jours,tous-les-jours-santa-clara@oxy.edu,3535 Homestead Rd
menchies-frozen-yogurt-vallejo,Menchie's Frozen Yogurt,menchies-frozen-yogurt-vallejo@aol.com,972 Admiral Callaghan Ln
starbread-bakery-vallejo,Starbread Bakery,starbread-bakery-vallejo@gmail.com,3718 Sonoma Blvd
pho-1-vallejo,Pho #1,pho-1-vallejo@gmail.com,3885 Sonoma Blvd
sunshine-bakery-vallejo-3,Sunshine Bakery,sunshine-bakery-vallejo-3@yahoo.com,3570 Sonoma Blvd
original-red-onion-vallejo-2,Original Red Onion,original-red-onion-vallejo-2@gmail.com,1321 Springs Rd
yo-sushi-vallejo-2,Yo Sushi,yo-sushi-vallejo-2@bobalover.com,114 Robles Way
midori-japanese-cuisine-vallejo,Midori Japanese Cuisine,midori-japanese-cuisine-vallejo@yahoo.com,3440 Sonoma Blvd
pho-lee-hoa-phat-vallejo-2,Pho Lee Hoa Phat,pho-lee-hoa-phat-vallejo-2@aol.com,102 Springstowne Ctr
pho-saigon-village-noodle-house-vallejo,Pho Saigon Village Noodle House,pho-saigon-village-noodle-house-vallejo@yahoo.com,3636 Sonoma Blvd
pho-lee-hoa-phat-2-vallejo-3,Pho Lee Hoa Phat 2,pho-lee-hoa-phat-2-vallejo-3@oxy.edu,3495 Sonoma Blvd
chowking-vallejo,Chowking,chowking-vallejo@bobalover.com,3495 Sonoma Blvd
tacos-jalisco-vallejo,Tacos Jalisco,tacos-jalisco-vallejo@gmail.com,3420 Sonoma Blvd
menchies-frozen-yogurt-belmont-2,Menchie's Frozen Yogurt,menchies-frozen-yogurt-belmont-2@gmail.com,1200 El Camino Real
fashion-wok-foster-city,Fashion Wok,fashion-wok-foster-city@yahoo.com,929 A Edgewater Blvd
pho-new-saigon-foster-city,Pho New Saigon,pho-new-saigon-foster-city@yahoo.com,1088 Foster City Blvd
hongry-kong-belmont-2,Hongry Kong,hongry-kong-belmont-2@yahoo.com,
marina-food-san-mateo,Marina Food,marina-food-san-mateo@bobalover.com,2992 S Norfolk St
cooking-papa-restaurant-foster-city,Cooking Papa Restaurant,cooking-papa-restaurant-foster-city@gmail.com,949A Edgewater Blvd
sheng-kee-bakery-san-mateo-2,Sheng Kee Bakery,sheng-kee-bakery-san-mateo-2@aol.com,2964 S Norfolk St
eat-on-monday-mountain-view-3,Eat On Monday,eat-on-monday-mountain-view-3@oxy.edu,
pho-little-saigon-san-mateo,Pho Little Saigon,pho-little-saigon-san-mateo@yahoo.com,2978 S Norfolk St
myung-dong-tofu-cabin-san-mateo,Myung Dong Tofu Cabin,myung-dong-tofu-cabin-san-mateo@bobalover.com,2968 S Norfolk St
bagel-street-cafe-redwood-city,Bagel Street Cafe,bagel-street-cafe-redwood-city@yahoo.com,254 Redwood Shores Pkwy
east-14th-bakery-and-cafe-san-leandro-3,East 14th Bakery & Cafe,east-14th-bakery-and-cafe-san-leandro-3@bobalover.com,1780 E 14th St
tapioca-express-san-leandro,Tapioca Express,tapioca-express-san-leandro@aol.com,129 W Joaquin Ave
quickly-san-leandro,Quickly,quickly-san-leandro@aol.com,15251 Hesperian Blvd
sweethoney-dessert-san-leandro-3,Sweethoney Dessert,sweethoney-dessert-san-leandro-3@oxy.edu,1423 E 14th St
hanoi-chicken-noodle-san-leandro,Hanoi Chicken Noodle,hanoi-chicken-noodle-san-leandro@oxy.edu,13720 Doolittle Dr
loving-tea-san-leandro,Loving Tea,loving-tea-san-leandro@gmail.com,1338 Fairmont Dr
cafe-sorriso-san-leandro,Cafe Sorriso,cafe-sorriso-san-leandro@bobalover.com,1501 Washington Ave
d-t-dim-sum-and-tea-san-leandro,D T Dim Sum & Tea,d-t-dim-sum-and-tea-san-leandro@gmail.com,1970 Lewelling Blvd
milk-and-cookie-bar-castro-valley-3,Milk & Cookie Bar,milk-and-cookie-bar-castro-valley-3@yahoo.com,18911 Lake Chabot Rd
sweet-dee-cupcakes-and-snow-ice-san-leandro,Sweet Dee Cupcakes & Snow Ice,sweet-dee-cupcakes-and-snow-ice-san-leandro@oxy.edu,109 Pelton Ctr Way
quickly-san-lorenzo,Quickly,quickly-san-lorenzo@yahoo.com,17940 Hesperian Blvd
tapioca-express-alameda,Tapioca Express,tapioca-express-alameda@yahoo.com,2306 Encinal Ave
leisure-cafe-san-leandro-2,Leisure Cafe,leisure-cafe-san-leandro-2@aol.com,1443 E 14th St
quickly-castro-valley,Quickly,quickly-castro-valley@gmail.com,20893 Redwood Rd
china-kitchen-express-san-leandro,China Kitchen Express,china-kitchen-express-san-leandro@yahoo.com,13780 E 14th St
pho-an-hoa-san-leandro,Pho An Hoa,pho-an-hoa-san-leandro@gmail.com,14391 Washington Ave
tuttimelon-alameda,Tuttimelon,tuttimelon-alameda@bobalover.com,2402 Central Ave
banh-mi-ba-le-oakland,Banh Mi Ba Le,banh-mi-ba-le-oakland@oxy.edu,1909 International Blvd
pokeatery-castro-valley,Pokeatery,pokeatery-castro-valley@oxy.edu,18911 Lake Chabot Rd
hot-spot-alameda,Hot Spot,hot-spot-alameda@yahoo.com,2321 Santa Clara Ave
worlds-fare-donuts-hayward,World's Fare Donuts,worlds-fare-donuts-hayward@aol.com,20770 Hesperian Blvd
taqueria-los-pericos-san-leandro,Taqueria Los Pericos,taqueria-los-pericos-san-leandro@aol.com,1389 E 14th St
pho-anh-ha-san-leandro,Pho Anh-Ha,pho-anh-ha-san-leandro@yahoo.com,2089 E 14th St
craw-station-san-leandro,Craw Station,craw-station-san-leandro@bobalover.com,15040 Farnsworth St
r-and-d-cafe-san-lorenzo,R & D Cafe,r-and-d-cafe-san-lorenzo@bobalover.com,15813 Channel St
munch-hayward,Munch,munch-hayward@gmail.com,27560 Tampa Ave
foodnet-supermarket-san-leandro-2,Foodnet Supermarket,foodnet-supermarket-san-leandro-2@aol.com,1960 Lewelling Blvd
yo-bowl-hayward,Yo Bowl,yo-bowl-hayward@yahoo.com,8 Southland Mall
yogurt-hill-hayward-4,Yogurt Hill,yogurt-hill-hayward-4@aol.com,1081 B St
alohana-hawaiian-grill-san-leandro,Alohana Hawaiian Grill,alohana-hawaiian-grill-san-leandro@yahoo.com,15555 E 14th St
